"msoa21","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E02000001",4,1836,2753,1717,664,114,58,7146,0.000559753708368318,0.256926952141058,0.385250489784495,0.2402742793171,0.0929191155891408,0.0159529806884971,0.00811642877134061,4593,0.642737195633921,2553,0.357262804366079
"E02000002",16,218,1044,1055,277,36,5,2651,0.00603545831761599,0.0822331195775179,0.393813655224444,0.397963032817805,0.104488872123727,0.013579781214636,0.001886080724255,1278,0.482082233119578,1373,0.517917766880422
"E02000003",14,208,968,1864,569,69,15,3707,0.00377663879147559,0.0561100620447801,0.261127596439169,0.502832479093607,0.153493390882115,0.0186134340437011,0.00404639870515241,1190,0.321014297275425,2517,0.678985702724575
"E02000004",4,70,669,840,258,26,7,1874,0.00213447171824973,0.0373532550693703,0.356990394877268,0.448239060832444,0.137673425827108,0.0138740661686233,0.00373532550693703,743,0.396478121664888,1131,0.603521878335112
"E02000005",40,358,660,1668,354,42,18,3140,0.0127388535031847,0.114012738853503,0.210191082802548,0.531210191082803,0.112738853503185,0.0133757961783439,0.00573248407643312,1058,0.336942675159236,2082,0.663057324840764
"E02000007",0,425,1057,1409,401,87,11,3390,0,0.125368731563422,0.311799410029499,0.415634218289086,0.118289085545723,0.0256637168141593,0.00324483775811209,1482,0.43716814159292,1908,0.56283185840708
"E02000008",1,78,1078,2228,490,31,13,3919,0.00025516713447308,0.0199030364889002,0.27507017096198,0.568512375606022,0.125031895891809,0.00791018116866548,0.00331717274815004,1157,0.295228374585353,2762,0.704771625414647
"E02000009",0,1148,1067,1511,352,31,13,4122,0,0.278505579815623,0.258854924793789,0.366569626394954,0.0853954391072295,0.00752062105773896,0.00315380883066473,2215,0.537360504609413,1907,0.462639495390587
"E02000010",4,79,813,1648,276,22,5,2847,0.00140498770635757,0.027748507200562,0.285563751317176,0.578854935019319,0.0969441517386723,0.00772743238496663,0.00175623463294696,896,0.314717246224096,1951,0.685282753775905
"E02000011",3,106,526,1100,319,34,10,2098,0.00142993326978074,0.0505243088655863,0.25071496663489,0.524308865586273,0.152049571020019,0.0162059103908484,0.00476644423260248,635,0.302669208770257,1463,0.697330791229743
"E02000012",2,68,757,1333,465,55,12,2692,0.000742942050520059,0.025260029717682,0.281203566121842,0.49517087667162,0.172734026745914,0.0204309063893016,0.00445765230312036,827,0.307206537890045,1865,0.692793462109956
"E02000013",0,103,679,1487,322,22,8,2621,0,0.0392979778710416,0.259061426936284,0.567340709652804,0.122853872567722,0.00839374284624189,0.00305227012590614,782,0.298359404807325,1839,0.701640595192675
"E02000014",3,33,879,1681,335,29,12,2972,0.00100942126514132,0.0111036339165545,0.295760430686406,0.565612382234186,0.112718707940781,0.00975773889636608,0.00403768506056528,915,0.307873485868102,2057,0.692126514131898
"E02000015",5,455,1166,1157,277,33,8,3101,0.00161238310222509,0.146726862302483,0.376007739438891,0.373105449854886,0.0893260238632699,0.0106417284746856,0.00257981296356014,1626,0.524346984843599,1475,0.475653015156401
"E02000016",79,2086,1558,896,209,19,4,4851,0.0162853019995877,0.43001443001443,0.321170892599464,0.184704184704185,0.0430839002267574,0.00391671820243249,0.000824572253143682,3723,0.767470624613482,1128,0.232529375386518
"E02000017",0,35,599,1446,467,41,12,2600,0,0.0134615384615385,0.230384615384615,0.556153846153846,0.179615384615385,0.0157692307692308,0.00461538461538462,634,0.243846153846154,1966,0.756153846153846
"E02000018",9,215,1054,1385,268,24,10,2965,0.003035413153457,0.0725126475548061,0.355480607082631,0.467116357504216,0.0903878583473862,0.00809443507588533,0.00337268128161889,1278,0.431028667790894,1687,0.568971332209106
"E02000019",0,1197,975,1285,232,17,6,3712,0,0.322467672413793,0.262661637931034,0.346174568965517,0.0625,0.00457974137931034,0.00161637931034483,2172,0.585129310344828,1540,0.414870689655172
"E02000020",43,1974,1028,1655,370,47,8,5125,0.00839024390243902,0.385170731707317,0.200585365853659,0.322926829268293,0.0721951219512195,0.00917073170731707,0.0015609756097561,3045,0.594146341463415,2080,0.405853658536585
"E02000021",0,627,694,1516,398,37,9,3281,0,0.191100274306614,0.211520877781164,0.462054251752514,0.121304480341359,0.0112770496799756,0.00274306613837245,1321,0.402621152087778,1960,0.597378847912222
"E02000022",39,4110,805,483,149,20,4,5610,0.00695187165775401,0.732620320855615,0.14349376114082,0.086096256684492,0.0265597147950089,0.0035650623885918,0.00071301247771836,4954,0.883065953654189,656,0.116934046345811
"E02000023",1,901,1005,755,117,19,4,2802,0.000356887937187723,0.321556031406138,0.358672376873662,0.269450392576731,0.0417558886509636,0.00678087080656674,0.00142755174875089,1907,0.680585296216988,895,0.319414703783012
"E02000024",3,494,1054,1535,717,118,30,3951,0.000759301442672741,0.125031637560111,0.266767906859023,0.388509238167553,0.181473044798785,0.0298658567451278,0.00759301442672741,1551,0.392558845861807,2400,0.607441154138193
"E02000025",5,249,1443,1256,440,57,11,3461,0.0014446691707599,0.0719445247038428,0.416931522681306,0.362900895694886,0.127130887026871,0.0164692285466628,0.00317827217567177,1697,0.490320716555909,1764,0.509679283444091
"E02000026",4,101,587,965,320,51,9,2037,0.00196367206676485,0.0495827196858125,0.288168875797742,0.47373588610702,0.157093765341188,0.0250368188512518,0.00441826215022091,692,0.339715267550319,1345,0.660284732449681
"E02000027",32,435,1104,1405,374,60,16,3426,0.00934033858727379,0.126970227670753,0.322241681260946,0.41009924109749,0.109165207238762,0.0175131348511384,0.00467016929363689,1571,0.458552247518973,1855,0.541447752481027
"E02000028",2,128,872,1047,389,53,10,2501,0.00079968012794882,0.0511795281887245,0.348660535785686,0.418632546981207,0.155537784886046,0.0211915233906437,0.0039984006397441,1002,0.400639744102359,1499,0.599360255897641
"E02000029",0,400,1142,1444,479,61,12,3538,0,0.113058224985868,0.322781232334652,0.408140192198982,0.135387224420577,0.0172413793103448,0.00339174674957603,1542,0.43583945732052,1996,0.56416054267948
"E02000030",30,244,777,1209,498,91,18,2867,0.0104638995465644,0.0851063829787234,0.271014998256017,0.421695151726543,0.173700732472968,0.0317404952912452,0.00627833972793861,1051,0.366585280781304,1816,0.633414719218696
