"oslaua","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E06000001",170,5299,13891,16618,4526,744,214,41462,0.00410013988712556,0.127803772128696,0.335029665718007,0.400800733201486,0.109160194877237,0.0179441416236554,0.00516135256379335,19360,0.466933577733829,22102,0.533066422266172
"E06000002",148,7090,21002,22898,6750,922,296,59106,0.00250397590769127,0.119953980983318,0.355327716306297,0.387405677934558,0.114201603898081,0.0155990931546713,0.00500795181538253,28240,0.477785673197307,30866,0.522214326802693
"E06000003",158,5859,15902,20880,7145,1352,399,51695,0.00305638843215011,0.113337846987136,0.3076119547345,0.403907534577812,0.138214527517168,0.026153399748525,0.00771834800270819,21919,0.424006190153787,29776,0.575993809846213
"E06000004",325,9130,27987,30080,7472,1064,260,76318,0.00425849734007705,0.119631017584318,0.366715584789958,0.394140307660054,0.097906129615556,0.0139416651379753,0.00340679787206164,37442,0.490605099714353,38876,0.509394900285647
"E06000005",206,5646,13283,17441,6770,1237,297,44880,0.00459001782531194,0.125802139037433,0.295967023172906,0.388614081996435,0.150846702317291,0.0275623885918004,0.00661764705882353,19135,0.426359180035651,25745,0.573640819964349
"E06000006",168,5514,17900,16568,4340,726,184,45400,0.00370044052863436,0.121453744493392,0.394273127753304,0.364933920704846,0.0955947136563877,0.0159911894273128,0.00405286343612335,23582,0.51942731277533,21818,0.48057268722467
"E06000007",201,9665,32400,31242,7355,1179,302,82344,0.00244097930632469,0.117373457689692,0.393471291168755,0.379408335762168,0.0893204119304382,0.0143179830953075,0.00366754104731371,42266,0.513285728164772,40078,0.486714271835228
"E06000008",185,5405,17801,22286,7740,1562,435,55414,0.0033385065145992,0.0975385281697766,0.321236510629083,0.402172736131663,0.139675894178366,0.0281878225719132,0.00785000180459812,23391,0.422113545313459,32023,0.577886454686541
"E06000009",132,2511,17378,29029,12018,2281,875,64230,0.00205511443250817,0.0390938813638487,0.270558928849447,0.451953915615756,0.187108827650631,0.0355130001556905,0.0136229176397322,20021,0.311707924645804,44203,0.688198661061809
"E06000010",314,8677,40570,49096,11582,1648,625,112512,0.00279081342434585,0.0771206626848692,0.360583759954494,0.436362343572241,0.102940130830489,0.0146473265073948,0.0055549630261661,49561,0.440495236063709,62951,0.559504763936291
"E06000011",682,17953,36959,51542,18897,4676,1477,132186,0.00515939660781021,0.135816198387121,0.27959844461592,0.389920263870607,0.142957650583269,0.0353743966834612,0.0111736492518118,55594,0.420574039610851,76592,0.579425960389149
"E06000012",138,4989,18220,28197,8623,1271,410,61848,0.00223127667830811,0.0806655025223128,0.294593196222998,0.455908032596042,0.139422455051093,0.0205503815806493,0.00662915534859656,23347,0.377489975423619,38501,0.622510024576381
"E06000013",244,5054,19692,24918,8011,1716,470,60105,0.00405956243240995,0.0840861825139339,0.327626653356626,0.41457449463439,0.133283420680476,0.0285500374344896,0.0078196489476749,24990,0.41577239830297,35115,0.58422760169703
"E06000014",394,6550,25793,31901,7598,1105,298,73639,0.00535042572549872,0.088947432746235,0.350262768370021,0.433207946875976,0.103179021985633,0.0150056356007007,0.00404676869593558,32737,0.444560626841755,40902,0.555439373158245
"E06000015",235,9521,31012,38872,15071,2403,478,97592,0.002407984261005,0.0975592261660792,0.31777194852037,0.398311336994836,0.154428641691942,0.0246229199114682,0.00489794245429953,40768,0.417739158947455,56824,0.582260841052545
"E06000016",769,10589,39513,51794,20935,3100,634,127334,0.00603923539667332,0.0831592504751284,0.310309893665478,0.406757032685693,0.164410133978356,0.024345422275276,0.00497903152339517,50871,0.39950837953728,76463,0.60049162046272
