"pcon24","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E14001063",160,6457,16563,15529,4521,616,110,43956,0.00364000364000364,0.146896896896897,0.376808626808627,0.353285103285103,0.102852852852853,0.014014014014014,0.0025025025025025,23180,0.527345527345527,20776,0.472654472654473
"E14001064",93,2158,9055,12748,3934,552,133,28675,0.00324324324324324,0.0752571926765475,0.315780296425458,0.444568439407149,0.137192676547515,0.0192502179598954,0.00463818657367044,11306,0.394280732345249,17367,0.60564952048823
"E14001065",27,2729,10318,13869,5230,991,170,33334,0.000809983800323994,0.0818683626327473,0.309533809323814,0.416061678766425,0.156896862062759,0.0297294054118918,0.00509989800203996,13074,0.392212155756885,20260,0.607787844243115
"E14001066",186,4312,9545,13679,5110,1026,235,34093,0.00545566538585633,0.126477576042003,0.279969495204294,0.401226058135101,0.149884140439386,0.0300941542252075,0.00689291056815182,14043,0.411902736632153,20050,0.588097263367847
"E14001067",103,4744,9084,12333,6674,2318,624,35880,0.00287068004459309,0.13221850613155,0.253177257525084,0.343729096989967,0.186008918617614,0.0646042363433668,0.0173913043478261,13931,0.388266443701226,21949,0.611733556298774
"E14001068",112,4021,12935,13932,4899,949,198,37046,0.00302326836905469,0.108540733142579,0.349160503158236,0.376072990336339,0.132240997678562,0.0256168007342223,0.0053447065810074,17068,0.46072450466987,19978,0.53927549533013
"E14001069",197,7029,16441,12270,3084,651,211,39884,0.00493932403971517,0.176236084645472,0.412220439273894,0.307642162270585,0.0773242402968609,0.0163223347708354,0.00529034199177615,23667,0.593395847959081,16216,0.406579079330057
"E14001070",31,3015,14071,14873,3855,642,180,36667,0.000845446859574004,0.0822265252134071,0.383751056808574,0.405623585240134,0.105135407859929,0.0175089317369842,0.00490904628139744,17117,0.466823028881556,19550,0.533176971118444
"E14001071",117,8199,16021,12878,3886,684,152,41937,0.00278989913441591,0.195507547034838,0.382025419081002,0.307079667119727,0.0926628037294036,0.0163101795550469,0.00362448434556597,24337,0.580322865250256,17600,0.419677134749744
"E14001072",239,7587,12030,12036,5085,1267,335,38579,0.00619508022499287,0.196661396096322,0.311827678270562,0.311983203297131,0.131807460017108,0.0328417014437907,0.00868348065009461,19856,0.514684154591876,18723,0.485315845408124
