"oslaua","loftins_n","cavitywallins_n","solidwallins_n","cavity_and_loftins_n","cavitywallins_noloftins_n","loftins_nocavitywallins_n","number_of_epcs","loftins_pct","cavitywallins_pct","solidwallins_pct","cavity_and_loftins_pct","cavitywallins_noloftins_pct","loftins_nocavitywallins_pct"
"E06000001",5149,5451,6815,1227,4224,3922,41462,0.124186001640056,0.131469779557185,0.164367372533886,0.0295933625970768,0.101876416960108,0.0945926390429791
"E06000002",7361,7655,11764,1703,5952,5658,59108,0.124534749949245,0.129508695946403,0.199025512620965,0.0288116667794546,0.100697029166949,0.0957230831697909
"E06000003",8141,7732,9712,1979,5753,6162,51697,0.157475288701472,0.149563804476082,0.187863899259145,0.0382807513008492,0.111283053175233,0.119194537400623
"E06000004",9407,8442,7763,2163,6279,7244,76293,0.123300958148192,0.11065235342692,0.10175245435361,0.0283512248830168,0.0823011285439031,0.094949733265175
"E06000005",5549,6048,14319,1250,4798,4299,44882,0.123635310369413,0.134753353237378,0.319036584822423,0.0278508087874872,0.106902544449891,0.0957845015819259
"E06000006",6621,7997,4619,1897,6100,4724,45404,0.145824156461986,0.176129856400317,0.101731125011012,0.041780459871377,0.13434939652894,0.104043696590609
"E06000007",13284,16565,9220,4472,12093,8812,82353,0.161305599067429,0.201146284895511,0.111957062887812,0.0543028183551297,0.146843466540381,0.107002780712299
"E06000008",9179,15065,8204,4088,10977,5091,55435,0.165581311445837,0.271759718589339,0.147993145124921,0.0737440245332371,0.198015694056102,0.0918372869126003
"E06000009",11936,24822,3809,6247,18575,5689,64231,0.18582927246968,0.386448910961997,0.0593015833476047,0.0972583332035933,0.289190577758403,0.0885709392660865
"E06000010",13107,12329,39449,2450,9879,10657,112512,0.116494240614334,0.109579422639363,0.350620378270762,0.0217754550625711,0.0878039675767918,0.0947187855517634
"E06000011",20999,17378,29037,4925,12453,16074,132189,0.158855880595208,0.13146328363177,0.219662755599936,0.0372572604377066,0.094206023194063,0.121598620157502
"E06000012",10092,8854,19406,2164,6690,7928,61838,0.163200620977393,0.143180568582425,0.313819981241308,0.0349946634755328,0.108185905106892,0.12820595750186
"E06000013",8477,9488,11775,2138,7350,6339,60109,0.141027134039828,0.157846578715334,0.195894125671696,0.0355687168310902,0.122277861884244,0.105458417208737
"E06000014",11158,9754,15295,2775,6979,8383,73641,0.151518854985674,0.132453388737252,0.207696799337326,0.0376828125636534,0.0947705761735989,0.11383604242202
"E06000015",14609,11422,28059,2985,8437,11624,97593,0.14969311323558,0.117037082577644,0.287510374719498,0.0305862100765424,0.0864508725011015,0.119106903159038
"E06000016",18971,12140,47713,2759,9381,16212,127341,0.148977941118728,0.095334574096324,0.374686864403452,0.021666234755499,0.073668339340825,0.127311706363229
"E06000017",2243,1567,3065,512,1055,1731,14751,0.152057487627957,0.106230086095858,0.207782523218765,0.0347095112195783,0.0715205748762796,0.117347976408379
"E06000018",19216,12403,42105,2944,9459,16272,143527,0.133884216906923,0.0864157963310039,0.293359437597107,0.0205118200756652,0.0659039762553387,0.113372396831258
"E06000019",13135,10166,14834,3324,6842,9811,70559,0.186156266386995,0.144078005640669,0.210235405830582,0.0471095111892175,0.096968494451452,0.139046755197778
