"pcon24","loftins_n","cavitywallins_n","solidwallins_n","cavity_and_loftins_n","cavitywallins_noloftins_n","loftins_nocavitywallins_n","number_of_epcs","loftins_pct","cavitywallins_pct","solidwallins_pct","cavity_and_loftins_pct","cavitywallins_noloftins_pct","loftins_nocavitywallins_pct"
"E14001063",6127,8513,5084,2210,6303,3917,43956,0.139389389389389,0.193670943670944,0.115661115661116,0.0502775502775503,0.143393393393393,0.0891118391118391
"E14001064",5370,6508,3721,1869,4639,3501,28679,0.187245022490324,0.226925625021793,0.129746504410893,0.065169636319258,0.161755988702535,0.122075386171066
"E14001065",5596,8892,5829,2314,6578,3282,33334,0.167876642467151,0.266754664906702,0.174866502669947,0.0694186116277674,0.197336053278934,0.0984580308393832
"E14001066",4619,3734,9592,1017,2717,3602,34093,0.135482357082099,0.109523949197783,0.281348077317924,0.0298301704162145,0.0796937787815681,0.105652186665884
"E14001067",7825,8250,5594,2994,5256,4831,35881,0.218081993255483,0.229926702154344,0.155904239012291,0.0834424904545581,0.146484211699785,0.134639502800925
"E14001068",5555,3896,8110,1106,2790,4449,37048,0.149940617577197,0.105160872381775,0.218905204059598,0.0298531634636148,0.0753077089181602,0.120087454113582
"E14001069",5648,6028,3453,1749,4279,3899,39887,0.14160002005666,0.151126933587384,0.0865695590041868,0.0438488730664126,0.107278060520972,0.0977511469902475
"E14001070",4871,8564,3894,2000,6564,2871,36688,0.132768207588312,0.233427823811601,0.106138246838203,0.0545137374618404,0.17891408634976,0.0782544701264719
"E14001071",6032,5396,4079,1863,3533,4169,41937,0.143834799818776,0.128669194267592,0.0972649450366025,0.0444237785249302,0.0842454157426616,0.0994110212938455
"E14001072",6022,4428,6596,1410,3018,4612,38579,0.156095284999611,0.114777469607818,0.170973845874699,0.0365483812436818,0.0782290883641359,0.119546903755929
"E14001073",5588,6863,14903,1487,5376,4101,46097,0.121222639217303,0.14888170596785,0.323296526888952,0.032258064516129,0.116623641451721,0.0889645747011736
"E14001074",5725,5076,6653,1401,3675,4324,41434,0.138171549934836,0.122508085147463,0.160568615146981,0.033812810735145,0.0886952744123184,0.104358739199691
"E14001075",6063,5119,9764,1401,3718,4662,43782,0.138481567767576,0.116920195514138,0.223014024028139,0.031999451829519,0.0849207436846192,0.106482115938057
"E14001076",6776,12683,8031,3125,9558,3651,38249,0.177154958299563,0.331590368375644,0.209966273628069,0.0817014823916965,0.249888885983947,0.0954534759078669
"E14001077",6272,8216,2981,2595,5621,3677,35517,0.176591491398485,0.231325843962046,0.0839316383703579,0.0730636033448771,0.158262240617169,0.103527888053608
"E14001078",6531,7064,1377,2016,5048,4515,41567,0.157119830634879,0.169942502465898,0.0331272403589386,0.0485000120287728,0.121442490437126,0.108619818606106
"E14001079",6153,4667,7365,1413,3254,4740,44168,0.139309001992393,0.10566473464952,0.166749683028437,0.0319914870494476,0.0736732476000724,0.107317514942945
