"oslaua","Local_authority","resi_high_med_low","resi_verylow","nonresi_high_med_low","nonresi_verylow","total_high_med_low","total_verylow","resi_all","nonresi_all","total_all"
"E07000240","St Albans",660,15,245,6,905,21,675,251,926
"E07000241","Welwyn Hatfield",688,6,116,3,804,9,694,119,813
"E07000098","Hertsmere",1043,86,207,43,1250,129,1129,250,1379
"E07000096","Dacorum",1228,124,171,13,1399,137,1352,184,1536
"E06000056","Central Bedfordshire",2357,140,735,33,3092,173,2497,768,3265
"E07000099","North Hertfordshire",654,0,147,0,801,0,654,147,801
"E07000242","East Hertfordshire",4405,128,1444,36,5849,164,4533,1480,6013
"E08000025","Birmingham",10491,391,3072,206,13563,597,10882,3278,14160
"E08000029","Solihull",1232,1,196,3,1428,4,1233,199,1432
"E07000234","Bromsgrove",754,0,564,0,1318,0,754,564,1318
"E08000028","Sandwell",1709,439,610,176,2319,615,2148,786,2934
"E08000030","Walsall",1384,0,571,0,1955,0,1384,571,1955
"E07000218","North Warwickshire",296,213,506,121,802,334,509,627,1136
"E07000221","Stratford-on-Avon",2811,288,1891,67,4702,355,3099,1958,5057
"E07000238","Wychavon",1296,73,1263,10,2559,83,1369,1273,2642
"E08000027","Dudley",630,4,208,1,838,5,634,209,843
"E07000194","Lichfield",523,269,355,28,878,297,792,383,1175
"E07000199","Tamworth",1424,1039,492,170,1916,1209,2463,662,3125
"E07000134","North West Leicestershire",1231,16,477,132,1708,148,1247,609,1856
"E07000236","Redditch",584,4,324,1,908,5,588,325,913
"E07000222","Warwick",2410,27,612,2,3022,29,2437,614,3051
"E06000022","Bath and North East Somerset",5860,40,2735,7,8595,47,5900,2742,8642
"E06000025","South Gloucestershire",2333,1434,1020,955,3353,2389,3767,1975,5742
"E06000066","Somerset",35089,6422,15103,3480,50192,9902,41511,18583,60094
"E06000054","Wiltshire",7498,120,3471,15,10969,135,7618,3486,11104
"E06000059","Dorset",7852,1314,4074,432,11926,1746,9166,4506,13672
"E06000008","Blackburn with Darwen",1906,67,1727,97,3633,164,1973,1824,3797
"E07000120","Hyndburn",633,150,899,54,1532,204,783,953,1736
"E07000125","Rossendale",2825,17,1318,6,4143,23,2842,1324,4166
"E07000124","Ribble Valley",1811,45,861,14,2672,59,1856,875,2731
"E07000117","Burnley",1974,37,836,8,2810,45,2011,844,2855
"E07000122","Pendle",1865,157,1003,33,2868,190,2022,1036,3058
"E06000065","North Yorkshire",30291,2186,15233,1041,45524,3227,32477,16274,48751
"E07000118","Chorley",779,219,362,49,1141,268,998,411,1409
"E07000126","South Ribble",3434,68,724,44,4158,112,3502,768,4270
"E08000032","Bradford",4014,19,2684,6,6698,25,4033,2690,6723
"E08000035","Leeds",14807,236,4010,68,18817,304,15043,4078,19121
"E08000034","Kirklees",8676,528,4880,156,13556,684,9204,5036,14240
"E08000033","Calderdale",5120,80,3246,22,8366,102,5200,3268,8468
"E06000058","Bournemouth, Christchurch and Poole",5456,294,1538,18,6994,312,5750,1556,7306
"E07000091","New Forest",3430,267,1303,85,4733,352,3697,1388,5085
"E08000002","Bury",2839,130,735,18,3574,148,2969,753,3722
"E08000001","Bolton",2027,255,728,119,2755,374,2282,847,3129
"E08000005","Rochdale",2544,126,1211,41,3755,167,2670,1252,3922
"E06000043","Brighton and Hove",918,0,238,4,1156,4,918,242,1160
"E07000228","Mid Sussex",448,16,151,1,599,17,464,152,616
"E07000063","Lewes",3491,60,1589,158,5080,218,3551,1747,5298
"E07000229","Worthing",2254,238,408,13,2662,251,2492,421,2913
"E07000224","Arun",4157,2616,1829,1111,5986,3727,6773,2940,9713
"E07000223","Adur",3541,644,595,39,4136,683,4185,634,4819
"E07000225","Chichester",6579,610,2314,605,8893,1215,7189,2919,10108
"E07000227","Horsham",808,19,310,15,1118,34,827,325,1152
