"msoa21","msoa21_name","heat_risk","social_risk","heat_enhanced_risk","lst_maxday_mean","lst_daynight_mean","lst_daynight_decile","airtemp_maxday_mean","airtemp_daynight_mean","airtemp_daynight_decile","under5","under5_pct","over75","over75_pct","people_of_colour","people_of_colour_pct","disabled_persons","disabled_persons_pct","life_expectancy_average","life_expectancy_decile","care_or_nursing_home_n","hospital_n","nurseries_n"
"E02006534","Hillside","highest heat risk","Medium heat risk","High heat, not enhanced risk",39.76,27.87,2,33.68,26.49,9,473,0.0516037530002182,889,0.0969888719179577,729,0.08,1706,0.188,82.8,7,2,0,1
"E02006535","Buckingham","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.87,26.81,4,33.81,26.45,9,352,0.0481795784286888,841,0.115110867779907,357,0.049,1144,0.155,83.9,9,2,0,2
"E02006536","North Lancing","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.1,26.67,4,33.6,26.36,9,312,0.0416611029509948,715,0.0954733609293631,407,0.054,1395,0.186,84.2,9,1,0,3
"E02006537","Kingston & Southwick","highest heat risk","Highest heat risk","High heat and enhanced risk",38.21,27.69,3,33.33,26.41,9,571,0.0542517814726841,969,0.0920665083135392,948,0.09,2254,0.214,81,4,4,1,3
"E02006538","Shoreham Central & Beach","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.85,27.08,4,33.14,26.32,9,405,0.0436375390582911,1017,0.10957870919082,620,0.067,1602,0.173,85.1,10,2,0,3
"E02006539","Cokeham & Sompting","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.53,27.2,3,33.38,26.28,9,339,0.046374829001368,869,0.118878248974008,393,0.054,1589,0.218,81.7,5,2,0,0
"E02006540","Marsh Barn & Widewater","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.52,26.86,4,33.18,26.27,9,336,0.0580110497237569,727,0.125517955801105,307,0.054,1277,0.223,82.8,7,1,0,1
"E02006541","South Lancing","highest heat risk","Highest heat risk","High heat and enhanced risk",38.28,27.24,3,32.84,26.18,9,353,0.045146438163448,1066,0.136334569638061,485,0.062,1608,0.207,80.5,4,2,0,1
"E02003965","Wigton & Silloth","lower heat risk","Medium heat risk","Lower heat risk",30.47,19.81,10,33.38,24.59,10,436,0.0395931710860879,1321,0.119960043588812,113,0.01,2274,0.207,80.2,4,8,1,3
"E02003966","Boltons, Warnell & Solway Coast","lower heat risk","Lowest heat risk","Lower heat risk",29.79,19.66,10,33.19,25.34,10,236,0.033883704235463,788,0.113137114142139,85,0.012,1136,0.162,83.2,8,0,0,1
"E02003967","Aspatria & Abbeytown","lower heat risk","Medium heat risk","Lower heat risk",29.42,19.58,10,32.86,24.45,10,364,0.0447229389359872,862,0.105909816930827,80,0.01,1607,0.198,82.4,6,1,0,0
"E02003968","Maryport, Dearham & Crosby","lower heat risk","Medium heat risk","Lower heat risk",28.67,20.05,10,31.33,23.64,10,363,0.0410169491525424,922,0.104180790960452,109,0.012,1743,0.198,80.7,4,5,0,1
"E02003969","Flimby, Ellenborough & Broughton Moor","lower heat risk","Highest heat risk","Lower heat risk",27.73,19.73,10,31.1,23.41,10,340,0.0522996462082757,562,0.0864482387325027,58,0.009,1580,0.241,76.6,1,5,1,0
"E02003970","West Cockermouth & Great Broughton","lower heat risk","Medium heat risk","Lower heat risk",28.38,18.38,10,32.21,23.53,10,311,0.0374337987481945,885,0.10652383245065,203,0.025,1436,0.175,82.5,7,3,0,0
"E02003971","East Cockermouth & Buttermere","lower heat risk","Lowest heat risk","Lower heat risk",27.87,18.75,10,32.3,24.66,10,295,0.0370975855130785,998,0.125503018108652,181,0.023,1356,0.175,82.6,7,1,1,3
"E02003972","Workington North & Seaton","lower heat risk","Medium heat risk","Lower heat risk",28.31,20.06,10,31.37,23.57,10,440,0.0491729995529727,823,0.0919758605274922,129,0.014,1750,0.195,82.2,6,2,0,3
"E02003973","Workington West","lower heat risk","Highest heat risk","Lower heat risk",31.83,23,10,31.6,23.76,10,502,0.0576812593358612,577,0.0662989773641273,159,0.018,2221,0.258,76.2,1,1,1,1
"E02003974","Workington East","lower heat risk","Medium heat risk","Lower heat risk",31.95,22.35,10,31.66,23.93,10,428,0.0556494604082694,735,0.0955662462618645,85,0.011,1693,0.221,78.2,2,4,0,1
"E02003975","Harrington, Stainburn & Great Clifton","lower heat risk","Lowest heat risk","Lower heat risk",28.7,19.73,10,31.78,23.8,10,323,0.0443255111843008,806,0.11060793193358,84,0.012,1301,0.18,80.3,4,7,0,2
"E02003976","Keswick & Derwent Valley","lower heat risk","Lowest heat risk","Lower heat risk",27.82,19.19,10,32.17,25.84,10,144,0.0232295531537345,885,0.14276496209066,200,0.032,1107,0.176,84.5,9,2,1,1
"E02004029","Alfreton","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.35,24.9,8,38.9,29.33,2,423,0.0561827599946872,544,0.0722539513879665,265,0.036,1679,0.229,79.1,3,4,1,2
"E02004030","Crich, Holloway & Wingfield","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.53,23.86,9,38.22,29.44,2,237,0.0381274131274131,817,0.131435006435006,93,0.015,1173,0.194,82.6,7,2,0,0
"E02004031","Somercotes & Pye Bridge","highest heat risk","Highest heat risk","High heat and enhanced risk",38.62,25.7,6,38.95,29.26,2,502,0.0667819608886524,462,0.061460689104696,207,0.028,1923,0.257,77.2,1,4,0,0
"E02004032","Swanwick & Leabrooks","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.68,25.2,8,38.82,29.25,2,365,0.0430272309324531,906,0.106801838972062,145,0.017,1587,0.188,83.1,8,1,0,1
"E02004033","Ripley East, Riddings & Ironville","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.72,24.91,8,38.95,29.15,2,440,0.0494437577255871,798,0.0896729969659512,235,0.026,1877,0.21,79.4,3,7,0,2
"E02004034","Ripley West","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.76,24.65,8,38.74,29.21,2,260,0.0380506366164203,822,0.120298551148837,125,0.018,1337,0.196,83.3,8,1,0,3
"E02004035","Ambergate, Heage & Idridgehay","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.05,23.87,9,37.95,29.25,2,227,0.035264874941743,851,0.132204443063539,125,0.019,1174,0.183,82.9,7,1,0,0
"E02004036","Ripley South & Loscoe","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.33,25.4,7,38.9,29.07,3,552,0.0527825588066552,885,0.0846242111302352,219,0.021,2200,0.213,80.1,3,2,0,1
"E02004037","Belper Far Laund","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.57,25.74,6,38.68,29.22,2,324,0.0412791438399796,678,0.0863804306281055,165,0.021,1232,0.156,84.5,9,0,0,0
"E02004038","Belper Town","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.68,25.15,8,38.7,29.08,3,298,0.0397174463547914,809,0.107823537251766,269,0.036,1597,0.212,80.6,4,5,0,2
"E02004039","Openwoodgate & Holbrook","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38,25.26,7,38.78,28.99,3,306,0.0399477806788512,733,0.0956919060052219,216,0.028,1404,0.181,84,9,2,0,2
"E02004040","Heanor Gate & Aldercar","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.96,24.84,8,39.09,28.9,3,541,0.0560215387801595,700,0.0724862793828311,201,0.021,1745,0.184,81.7,6,1,0,0
"E02004041","Heanor East & Langley Mill","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.99,26.15,5,39.19,28.87,3,303,0.041297533051656,614,0.0836854300122666,161,0.022,1512,0.205,79.4,3,3,0,5
"E02004043","Kilburn & Horsley","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.53,24.51,9,38.93,28.95,3,330,0.0454170107349298,715,0.0984035232590146,163,0.022,1393,0.19,82,6,2,0,0
"E02004044","Duffield, Quarndon & Kirk Langley","highest heat risk","Lowest heat risk","High heat, not enhanced risk",37.29,24.55,9,38.2,28.23,5,385,0.0412161438818114,1090,0.116689861899154,629,0.069,1249,0.137,84.6,9,4,0,2
"E02006827","Heanor South & Shipley Park","highest heat risk","Highest heat risk","High heat and enhanced risk",37.9,25.01,8,39.2,28.8,4,446,0.0560371906018344,611,0.0767684382460108,226,0.028,1981,0.247,78.6,2,2,0,1
"E02006542","Arundel","highest heat risk","Lowest heat risk","High heat, not enhanced risk",36.97,26.22,5,33.14,25.44,10,167,0.0293239683933275,890,0.156277436347673,184,0.032,971,0.169,84.9,10,2,1,3
"E02006543","Angmering North, Patching & Findon","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.01,26.56,5,33.32,25.54,10,182,0.0321441186859767,789,0.139350052984811,172,0.031,1039,0.186,83.9,9,3,0,1
"E02006544","Westergate, Eastergate & Walberton","highest heat risk","Lowest heat risk","High heat, not enhanced risk",38.36,26.78,4,32.98,25.74,10,545,0.0454545454545455,1375,0.114678899082569,418,0.036,2093,0.18,82.7,7,9,0,2
"E02006545","Wick & Toddington","highest heat risk","Medium heat risk","High heat, not enhanced risk",37.99,26.62,4,31.59,25.39,10,867,0.0699532031628207,626,0.0505083104728094,649,0.053,2212,0.182,80,3,1,0,3
