"msoa21","msoa21_name","heat_vuln_risk","heat_social_vuln_tertile_label","care_or_nursing_home_n","hospital_n","nurseries_n","under5","over75","life_expectancy_decile"
"E02006534","Hillside","High heat, not enhanced risk","Medium heat risk",2,0,1,473,889,7
"E02006535","Buckingham","High heat, not enhanced risk","Lowest heat risk",2,0,2,352,841,9
"E02006536","North Lancing","High heat, not enhanced risk","Lowest heat risk",1,0,3,312,715,9
"E02006537","Kingston & Southwick","High heat and enhanced risk","Highest heat risk",4,1,3,571,969,4
"E02006538","Shoreham Central & Beach","High heat, not enhanced risk","Medium heat risk",2,0,3,405,1017,10
"E02006539","Cokeham & Sompting","High heat, not enhanced risk","Medium heat risk",2,0,0,339,869,5
"E02006540","Marsh Barn & Widewater","High heat, not enhanced risk","Medium heat risk",1,0,1,336,727,7
"E02006541","South Lancing","High heat and enhanced risk","Highest heat risk",2,0,1,353,1066,4
"E02003965","Wigton & Silloth","Lower heat risk","Medium heat risk",8,1,3,436,1321,4
"E02003966","Boltons, Warnell & Solway Coast","Lower heat risk","Lowest heat risk",0,0,1,236,788,8
"E02003967","Aspatria & Abbeytown","Lower heat risk","Medium heat risk",1,0,0,364,862,6
"E02003968","Maryport, Dearham & Crosby","Lower heat risk","Medium heat risk",5,0,1,363,922,4
"E02003969","Flimby, Ellenborough & Broughton Moor","Lower heat risk","Highest heat risk",5,1,0,340,562,1
"E02003970","West Cockermouth & Great Broughton","Lower heat risk","Medium heat risk",3,0,0,311,885,7
"E02003971","East Cockermouth & Buttermere","Lower heat risk","Lowest heat risk",1,1,3,295,998,7
"E02003972","Workington North & Seaton","Lower heat risk","Medium heat risk",2,0,3,440,823,6
"E02003973","Workington West","Lower heat risk","Highest heat risk",1,1,1,502,577,1
"E02003974","Workington East","Lower heat risk","Medium heat risk",4,0,1,428,735,2
"E02003975","Harrington, Stainburn & Great Clifton","Lower heat risk","Lowest heat risk",7,0,2,323,806,4
"E02003976","Keswick & Derwent Valley","Lower heat risk","Lowest heat risk",2,1,1,144,885,9
"E02004029","Alfreton","High heat, not enhanced risk","Medium heat risk",4,1,2,423,544,3
"E02004030","Crich, Holloway & Wingfield","High heat, not enhanced risk","Lowest heat risk",2,0,0,237,817,7
"E02004031","Somercotes & Pye Bridge","High heat and enhanced risk","Highest heat risk",4,0,0,502,462,1
"E02004032","Swanwick & Leabrooks","High heat, not enhanced risk","Lowest heat risk",1,0,1,365,906,8
"E02004033","Ripley East, Riddings & Ironville","High heat, not enhanced risk","Medium heat risk",7,0,2,440,798,3
"E02004034","Ripley West","High heat, not enhanced risk","Lowest heat risk",1,0,3,260,822,8
"E02004035","Ambergate, Heage & Idridgehay","High heat, not enhanced risk","Lowest heat risk",1,0,0,227,851,7
"E02004036","Ripley South & Loscoe","High heat, not enhanced risk","Medium heat risk",2,0,1,552,885,3
"E02004037","Belper Far Laund","High heat, not enhanced risk","Lowest heat risk",0,0,0,324,678,9
"E02004038","Belper Town","High heat, not enhanced risk","Medium heat risk",5,0,2,298,809,4
"E02004039","Openwoodgate & Holbrook","High heat, not enhanced risk","Lowest heat risk",2,0,2,306,733,9
"E02004040","Heanor Gate & Aldercar","High heat, not enhanced risk","Lowest heat risk",1,0,0,541,700,6
"E02004041","Heanor East & Langley Mill","High heat, not enhanced risk","Medium heat risk",3,0,5,303,614,3
"E02004043","Kilburn & Horsley","High heat, not enhanced risk","Lowest heat risk",2,0,0,330,715,6
"E02004044","Duffield, Quarndon & Kirk Langley","High heat, not enhanced risk","Lowest heat risk",4,0,2,385,1090,9
"E02006827","Heanor South & Shipley Park","High heat and enhanced risk","Highest heat risk",2,0,1,446,611,2
"E02006542","Arundel","High heat, not enhanced risk","Lowest heat risk",2,1,3,167,890,10
"E02006543","Angmering North, Patching & Findon","High heat, not enhanced risk","Lowest heat risk",3,0,1,182,789,9
"E02006544","Westergate, Eastergate & Walberton","High heat, not enhanced risk","Lowest heat risk",9,0,2,545,1375,7
"E02006545","Wick & Toddington","High heat, not enhanced risk","Medium heat risk",1,0,3,867,626,3
"E02006546","Angmering South","High heat, not enhanced risk","Lowest heat risk",7,0,3,479,1468,6
"E02006547","Yapton & Climping","Lower heat risk","Medium heat risk",4,0,2,372,660,5
"E02006548","Rustington North","High heat, not enhanced risk","Lowest heat risk",2,0,3,490,1117,7
"E02006549","Ferring & Kingston Gorse","High heat, not enhanced risk","Medium heat risk",4,0,0,128,1447,9
"E02006550","Littlehampton East","High heat, not enhanced risk","Medium heat risk",4,0,1,358,1499,6
"E02006551","East Preston & Rustington East","High heat, not enhanced risk","Medium heat risk",6,1,1,154,2163,9
"E02006552","Littlehampton West and River","High heat and enhanced risk","Highest heat risk",15,0,1,359,707,1
"E02006553","North Bersted","Lower heat risk","Lowest heat risk",1,0,2,561,866,6
"E02006554","Middleton-on-Sea","Lower heat risk","Medium heat risk",2,0,0,231,1184,9
"E02006555","South Bersted","High heat and enhanced risk","Highest heat risk",5,0,1,386,667,2
"E02006556","Felpham","Lower heat risk","Lowest heat risk",4,0,2,405,1540,9
"E02006557","Hawthorn Road","High heat and enhanced risk","Highest heat risk",7,0,1,470,575,4
"E02006558","Bognor Regis Central","High heat and enhanced risk","Highest heat risk",19,0,3,426,1272,1
"E02006559","Aldwick","High heat, not enhanced risk","Medium heat risk",5,0,1,221,1874,10
"E02006560","Nyetimber & Pagham","Lower heat risk","Medium heat risk",0,0,1,310,1644,6
"E02005819","Stanton Hill & Skegby","High heat, not enhanced risk","Medium heat risk",1,0,1,354,654,3
"E02005820","The Dales & South Skegby","High heat, not enhanced risk","Medium heat risk",0,0,0,186,666,5
"E02005821","Huthwaite","High heat, not enhanced risk","Medium heat risk",3,0,1,407,505,2
"E02005822","Sutton Forest Side & New Cross","High heat and enhanced risk","Highest heat risk",6,4,4,619,591,1
"E02005823","Sutton Central & Leamington","High heat and enhanced risk","Highest heat risk",9,0,2,431,775,1
"E02005824","Sutton St Mary's & Ashfields","High heat, not enhanced risk","Lowest heat risk",3,0,3,421,842,7
"E02005825","East Kirkby","High heat, not enhanced risk","Medium heat risk",3,0,2,409,694,6
"E02005826","Kirkby Central","High heat and enhanced risk","Highest heat risk",3,0,2,361,406,2
"E02005827","Kirkby Larwood & Kingsway","High heat, not enhanced risk","Lowest heat risk",2,0,2,467,722,5
"E02005828","Annesley & Kirkby Woodhouse","High heat, not enhanced risk","Lowest heat risk",3,1,1,377,803,6
"E02005829","Selston","High heat, not enhanced risk","Medium heat risk",3,0,1,283,686,3
"E02005830","Jacksdale & Underwood","High heat, not enhanced risk","Medium heat risk",1,0,0,234,687,6
"E02005831","Hucknall North & East","High heat, not enhanced risk","Lowest heat risk",3,0,3,625,753,5
"E02005832","Hucknall Town","High heat and enhanced risk","Highest heat risk",7,0,4,525,713,3
"E02005833","West Hucknall","High heat, not enhanced risk","Lowest heat risk",1,0,1,313,776,8
"E02005834","Hucknall Westville","High heat, not enhanced risk","Medium heat risk",5,0,1,695,662,2
"E02004996","Wye, Chilham & Kennington","Lower heat risk","Lowest heat risk",2,0,1,412,858,7
"E02004997","Charing, Pluckley & Challock","High heat, not enhanced risk","Lowest heat risk",6,0,1,320,1052,8
"E02004998","Kennington & Little Burton Farm","High heat, not enhanced risk","Lowest heat risk",3,0,1,273,748,9
"E02005000","Ashford Central","High heat and enhanced risk","Highest heat risk",1,0,4,861,585,3
"E02005001","Highfield & Willesborough","High heat, not enhanced risk","Lowest heat risk",4,3,1,574,813,4
"E02005002","Beaver & Singleton","High heat and enhanced risk","Highest heat risk",2,0,3,729,623,3
"E02005003","Washford & Stanhope","High heat, not enhanced risk","Medium heat risk",2,0,2,650,338,3
"E02005004","Park Farm","High heat, not enhanced risk","Lowest heat risk",1,0,4,723,553,4
"E02005005","Brabourne Lees & North Romney","High heat, not enhanced risk","Lowest heat risk",7,0,1,702,830,9
"E02005006","Biddenden, Smarden & High Halden","Lower heat risk","Lowest heat risk",1,0,1,276,792,7
"E02005007","Great Chart, Bethersden & Woodchurch","High heat, not enhanced risk","Lowest heat risk",7,0,3,540,949,7
"E02005008","Tenterden & Rolvenden","Lower heat risk","Medium heat risk",3,0,4,370,1642,7
