lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
E01000001,246,260,213,-33,-47,-13.5%,-18.1%,"31,952","29,128"
E01000002,265,242,203,-62,-39,-23.3%,-16.0%,"28,800","29,849"
E01000003,104,105,91,-13,-14,-12.6%,-13.1%,"32,191","30,828"
E01000005,207,193,139,-68,-54,-32.7%,-27.9%,"24,870","25,101"
E01000006,102,98,148,46,50,44.4%,51.0%,"40,060","40,144"
E01000007,103,100,148,45,48,43.5%,47.6%,"40,003","39,981"
E01000008,107,96,107,0,11,-0.3%,11.0%,"35,353","36,526"
E01000009,102,98,148,46,50,44.7%,51.0%,"40,081","40,141"
E01000010,103,100,148,45,48,43.5%,47.7%,"40,004","39,988"
E01000011,102,98,148,46,50,44.7%,51.0%,"40,081","40,142"
E01000012,63,60,62,-1,2,-2.2%,2.5%,"34,914","35,043"
E01000013,63,63,82,20,20,31.6%,31.6%,"39,295","38,941"
E01000014,63,63,82,20,20,31.6%,31.6%,"39,291","38,938"
E01000015,63,63,82,20,20,31.6%,31.6%,"39,295","38,941"
E01000016,43,43,54,11,11,25.7%,25.7%,"38,768","38,364"
E01000017,65,65,86,21,21,32.9%,32.9%,"39,412","39,033"
E01000018,54,54,73,19,19,35.5%,35.5%,"39,610","39,244"
E01000019,49,81,53,4,-28,8.5%,-35.0%,"36,857","21,854"
E01000020,66,66,92,26,26,38.5%,39.2%,"39,760","39,493"
E01000021,43,43,78,35,35,82.8%,82.6%,"41,253","41,088"
E01000022,45,45,63,19,19,42.0%,41.5%,"39,927","39,631"
E01000023,43,43,78,36,35,83.4%,83.1%,"41,259","41,097"
E01000024,55,55,80,25,25,45.3%,44.9%,"40,111","39,814"
E01000025,50,50,72,22,22,44.0%,43.5%,"40,026","39,736"
E01000027,29,29,41,12,12,40.6%,40.5%,"39,848","39,589"
E01000028,28,28,44,17,17,59.7%,59.6%,"40,679","40,457"
E01000029,28,28,44,16,16,58.9%,58.9%,"40,646","40,433"
E01000030,28,28,44,16,16,59.0%,59.1%,"40,654","40,441"
E01000031,43,43,75,31,31,72.1%,72.3%,"41,022","40,876"
E01000032,49,49,79,29,29,59.6%,59.5%,"40,677","40,452"
E01000033,23,23,39,16,16,72.4%,72.1%,"41,033","40,867"
E01000034,26,26,26,1,1,2.6%,2.6%,"35,921","35,053"
E01000035,33,33,55,22,22,65.9%,65.0%,"40,869","40,643"
E01000036,20,21,29,8,8,40.5%,39.6%,"39,844","39,529"
E01000037,79,82,122,43,40,54.1%,49.0%,"40,481","40,044"
E01000038,64,71,74,10,2,15.9%,3.2%,"37,811","35,170"
E01000039,26,26,44,19,19,72.6%,72.6%,"41,039","40,885"
E01000040,26,26,38,12,12,46.4%,46.4%,"40,157","39,901"
E01000041,19,19,26,7,7,37.0%,36.9%,"39,689","39,334"
E01000042,35,35,56,21,21,60.2%,60.2%,"40,691","40,473"
E01000043,61,61,146,85,85,138.6%,138.6%,"41,554","41,504"
E01000044,102,98,148,46,50,44.8%,51.2%,"40,088","40,156"
E01000045,35,35,56,21,21,61.3%,59.8%,"40,732","40,465"
E01000046,35,35,56,21,21,61.1%,59.5%,"40,726","40,453"
E01000048,61,61,146,85,85,138.3%,138.3%,"41,552","41,502"
E01000049,61,61,146,85,85,138.5%,138.5%,"41,553","41,503"
E01000050,70,70,110,40,40,56.7%,56.7%,"40,562","40,366"
E01000051,102,98,148,46,50,44.5%,50.9%,"40,063","40,139"
E01000052,56,56,137,82,82,145.7%,145.7%,"41,572","41,533"
E01000053,62,62,76,14,14,22.8%,22.8%,"38,517","38,055"
E01000054,27,27,41,14,14,51.8%,50.4%,"40,382","40,106"
E01000055,35,35,56,21,21,58.5%,58.5%,"40,634","40,419"
E01000056,25,25,40,15,15,58.5%,58.5%,"40,629","40,418"
E01000057,19,19,24,5,5,25.3%,25.3%,"38,735","38,326"
E01000058,14,14,17,4,4,25.6%,25.5%,"38,766","38,345"
E01000059,42,56,64,21,8,50.8%,14.2%,"40,350","36,984"
E01000060,67,81,94,27,13,40.2%,15.5%,"39,828","37,177"
E01000061,67,81,94,27,13,40.4%,15.5%,"39,842","37,188"
E01000062,72,72,96,24,24,33.5%,33.5%,"39,467","39,088"
E01000063,64,78,84,20,6,31.7%,7.5%,"39,309","35,947"
E01000064,25,25,42,17,17,69.2%,69.2%,"40,955","40,776"
E01000065,60,60,81,21,21,34.3%,34.3%,"39,512","39,150"
E01000066,43,43,78,36,36,83.5%,83.3%,"41,262","41,100"
E01000067,44,45,85,41,40,91.2%,90.8%,"41,368","41,217"
E01000068,81,81,137,56,56,70.1%,70.1%,"40,968","40,797"
E01000069,44,44,85,41,41,91.7%,91.4%,"41,379","41,223"
E01000070,44,44,85,41,41,91.6%,91.6%,"41,377","41,227"
